2025-10-13-15:00,2025-10-13-18:00,C,C,C,A,6 TRIAL(S),12 TRIAL(S),1 TRIAL(S),0 TRIAL(S),⚠ <a href=https://dataserver.cptec.inpe.br/dataserver_dimnt/das/carlos.bastarz/SMNAMonitoringApp/logs//gsi/gsi_2025101318.log target=_blank>CHECK LOGS</a>,⚠ <a href=https://dataserver.cptec.inpe.br/dataserver_dimnt/das/carlos.bastarz/SMNAMonitoringApp/logs//pre/pre_2025101318.log target=_blank>CHECK LOGS</a>,✅ GOOD,🕓 WAIT START
2025-10-13-21:00,2025-10-14-00:00,C,C,C,C,1 TRIAL(S),2 TRIAL(S),1 TRIAL(S),1 TRIAL(S),✅ GOOD,✅  GOOD,✅ GOOD,✅ GOOD
2025-10-14-03:00,2025-10-14-06:00,C,C,C,A,1 TRIAL(S),2 TRIAL(S),1 TRIAL(S),0 TRIAL(S),✅ GOOD,✅  GOOD,✅ GOOD,🕓 WAIT START
2025-10-14-09:00,2025-10-14-12:00,C,C,C,A,1 TRIAL(S),2 TRIAL(S),1 TRIAL(S),0 TRIAL(S),✅ GOOD,✅  GOOD,✅ GOOD,🕓 WAIT START
2025-10-14-15:00,2025-10-14-18:00,C,C,C,A,1 TRIAL(S),2 TRIAL(S),1 TRIAL(S),0 TRIAL(S),✅ GOOD,✅  GOOD,✅ GOOD,🕓 WAIT START
2025-10-14-21:00,2025-10-15-00:00,C,C,C,C,3 TRIAL(S),6 TRIAL(S),1 TRIAL(S),1 TRIAL(S),⚠ <a href=https://dataserver.cptec.inpe.br/dataserver_dimnt/das/carlos.bastarz/SMNAMonitoringApp/logs//gsi/gsi_2025101500.log target=_blank>CHECK LOGS</a>,⚠ <a href=https://dataserver.cptec.inpe.br/dataserver_dimnt/das/carlos.bastarz/SMNAMonitoringApp/logs//pre/pre_2025101500.log target=_blank>CHECK LOGS</a>,✅ GOOD,✅ GOOD
2025-10-15-03:00,2025-10-15-06:00,C,C,C,A,1 TRIAL(S),2 TRIAL(S),1 TRIAL(S),0 TRIAL(S),✅ GOOD,✅  GOOD,✅ GOOD,🕓 WAIT START
2025-10-15-09:00,2025-10-15-12:00,C,C,C,A,1 TRIAL(S),2 TRIAL(S),1 TRIAL(S),0 TRIAL(S),✅ GOOD,✅  GOOD,✅ GOOD,🕓 WAIT START
2025-10-15-15:00,2025-10-15-18:00,C,C,C,A,1 TRIAL(S),2 TRIAL(S),1 TRIAL(S),0 TRIAL(S),✅ GOOD,✅  GOOD,✅ GOOD,🕓 WAIT START
2025-10-15-21:00,2025-10-16-00:00,C,C,C,C,2 TRIAL(S),4 TRIAL(S),1 TRIAL(S),1 TRIAL(S),⚠ <a href=https://dataserver.cptec.inpe.br/dataserver_dimnt/das/carlos.bastarz/SMNAMonitoringApp/logs//gsi/gsi_2025101600.log target=_blank>CHECK LOGS</a>,⚠ <a href=https://dataserver.cptec.inpe.br/dataserver_dimnt/das/carlos.bastarz/SMNAMonitoringApp/logs//pre/pre_2025101600.log target=_blank>CHECK LOGS</a>,✅ GOOD,✅ GOOD
