Tamanho do Download (KB),Data do Download,Fuso Horário,Nome do Arquivo,Início do Ciclo AD,Tipo de Arquivo,Horário Sinótico,Tipo de Observação,Data da Observação
1848208,2025-03-07 20:54:18,+0000,gdas.t12z.gpsipw.tm00.bufr_d.nr.20250218,2025-03-07 20:55:14,gdas,12,gpsipw,2025-02-18 12:00:00
56409016,2025-03-07 20:54:29,+0000,gdas.t12z.gpsro.tm00.bufr_d.20250218,2025-03-07 20:55:14,gdas,12,gpsro,2025-02-18 12:00:00
764781696,2025-03-07 20:54:38,+0000,gdas.t12z.mtiasi.tm00.bufr_d.20250218,2025-03-07 20:55:14,gdas,12,mtiasi,2025-02-18 12:00:00
0,2025-03-07 20:54:17,+0000,gdas.t12z.osbuv8.tm00.bufr_d.20250218,2025-03-07 20:55:14,gdas,12,osbuv8,2025-02-18 12:00:00
62186664,2025-03-07 20:54:15,+0000,gdas.t12z.prepbufr.nr.20250218,2025-03-07 20:55:14,gdas,12,prepbufr,2025-02-18 12:00:00
125628992,2025-03-07 20:54:27,+0000,gdas.t12z.satwnd.tm00.bufr_d.20250218,2025-03-07 20:55:14,gdas,12,satwnd,2025-02-18 12:00:00
12762280,2025-03-07 21:30:12,+0000,gdas.t18z.1bamua.tm00.bufr_d.20250218,2025-03-07 21:31:16,gdas,18,1bamua,2025-02-18 18:00:00
15192792,2025-03-07 21:30:15,+0000,gdas.t18z.1bhrs4.tm00.bufr_d.20250218,2025-03-07 21:31:16,gdas,18,1bhrs4,2025-02-18 18:00:00
0,2025-03-07 21:30:11,+0000,gdas.t18z.airsev.tm00.bufr_d.20250218,2025-03-07 21:31:16,gdas,18,airsev,2025-02-18 18:00:00
217653376,2025-03-07 21:30:25,+0000,gdas.t18z.atms.tm00.bufr_d.20250218,2025-03-07 21:31:16,gdas,18,atms,2025-02-18 18:00:00
1475415024,2025-03-07 21:30:53,+0000,gdas.t18z.crisf4.tm00.bufr_d.20250218,2025-03-07 21:31:16,gdas,18,crisf4,2025-02-18 18:00:00
25005464,2025-03-07 21:30:20,+0000,gdas.t18z.eshrs3.tm00.bufr_d.20250218,2025-03-07 21:31:16,gdas,18,eshrs3,2025-02-18 18:00:00
43786232,2025-03-07 21:30:14,+0000,gdas.t18z.esmhs.tm00.bufr_d.20250218,2025-03-07 21:31:16,gdas,18,esmhs,2025-02-18 18:00:00
10551896,2025-03-07 21:30:19,+0000,gdas.t18z.gome.tm00.bufr_d.20250218,2025-03-07 21:31:16,gdas,18,gome,2025-02-18 18:00:00
1920056,2025-03-07 21:30:17,+0000,gdas.t18z.gpsipw.tm00.bufr_d.nr.20250218,2025-03-07 21:31:16,gdas,18,gpsipw,2025-02-18 18:00:00
48840960,2025-03-07 21:30:38,+0000,gdas.t18z.gpsro.tm00.bufr_d.20250218,2025-03-07 21:31:16,gdas,18,gpsro,2025-02-18 18:00:00
763825920,2025-03-07 21:30:36,+0000,gdas.t18z.mtiasi.tm00.bufr_d.20250218,2025-03-07 21:31:16,gdas,18,mtiasi,2025-02-18 18:00:00
0,2025-03-07 21:30:18,+0000,gdas.t18z.osbuv8.tm00.bufr_d.20250218,2025-03-07 21:31:16,gdas,18,osbuv8,2025-02-18 18:00:00
53908888,2025-03-07 21:30:55,+0000,gdas.t18z.prepbufr.nr.20250218,2025-03-07 21:31:16,gdas,18,prepbufr,2025-02-18 18:00:00
172581720,2025-03-07 21:30:28,+0000,gdas.t18z.satwnd.tm00.bufr_d.20250218,2025-03-07 21:31:16,gdas,18,satwnd,2025-02-18 18:00:00
13641928,2025-03-07 22:04:12,+0000,gdas.t00z.1bamua.tm00.bufr_d.20250219,2025-03-07 22:05:17,gdas,00,1bamua,2025-02-19 00:00:00
15177136,2025-03-07 22:04:16,+0000,gdas.t00z.1bhrs4.tm00.bufr_d.20250219,2025-03-07 22:05:17,gdas,00,1bhrs4,2025-02-19 00:00:00
0,2025-03-07 22:04:10,+0000,gdas.t00z.airsev.tm00.bufr_d.20250219,2025-03-07 22:05:17,gdas,00,airsev,2025-02-19 00:00:00
217053568,2025-03-07 22:04:23,+0000,gdas.t00z.atms.tm00.bufr_d.20250219,2025-03-07 22:05:17,gdas,00,atms,2025-02-19 00:00:00
1483301872,2025-03-07 22:04:54,+0000,gdas.t00z.crisf4.tm00.bufr_d.20250219,2025-03-07 22:05:17,gdas,00,crisf4,2025-02-19 00:00:00
30447016,2025-03-07 22:04:15,+0000,gdas.t00z.eshrs3.tm00.bufr_d.20250219,2025-03-07 22:05:17,gdas,00,eshrs3,2025-02-19 00:00:00
71905112,2025-03-07 22:04:14,+0000,gdas.t00z.esmhs.tm00.bufr_d.20250219,2025-03-07 22:05:17,gdas,00,esmhs,2025-02-19 00:00:00
10787560,2025-03-07 22:04:20,+0000,gdas.t00z.gome.tm00.bufr_d.20250219,2025-03-07 22:05:17,gdas,00,gome,2025-02-19 00:00:00
1775600,2025-03-07 22:04:18,+0000,gdas.t00z.gpsipw.tm00.bufr_d.nr.20250219,2025-03-07 22:05:17,gdas,00,gpsipw,2025-02-19 00:00:00
53387680,2025-03-07 22:04:38,+0000,gdas.t00z.gpsro.tm00.bufr_d.20250219,2025-03-07 22:05:17,gdas,00,gpsro,2025-02-19 00:00:00
822949864,2025-03-07 22:04:36,+0000,gdas.t00z.mtiasi.tm00.bufr_d.20250219,2025-03-07 22:05:17,gdas,00,mtiasi,2025-02-19 00:00:00
0,2025-03-07 22:04:19,+0000,gdas.t00z.osbuv8.tm00.bufr_d.20250219,2025-03-07 22:05:17,gdas,00,osbuv8,2025-02-19 00:00:00
62875992,2025-03-07 22:04:56,+0000,gdas.t00z.prepbufr.nr.20250219,2025-03-07 22:05:17,gdas,00,prepbufr,2025-02-19 00:00:00
130847992,2025-03-07 22:04:26,+0000,gdas.t00z.satwnd.tm00.bufr_d.20250219,2025-03-07 22:05:17,gdas,00,satwnd,2025-02-19 00:00:00
13725920,2025-03-08 08:35:13,+0000,gdas.t06z.1bamua.tm00.bufr_d.20250219,202508-0303-08 03:43:59,gdas,06,1bamua,2025-02-19 06:00:00
15207760,2025-03-08 08:35:12,+0000,gdas.t06z.1bhrs4.tm00.bufr_d.20250219,202508-0303-08 03:43:59,gdas,06,1bhrs4,2025-02-19 06:00:00
0,2025-03-08 08:35:10,+0000,gdas.t06z.airsev.tm00.bufr_d.20250219,202508-0303-08 03:43:59,gdas,06,airsev,2025-02-19 06:00:00
218255536,2025-03-08 08:35:23,+0000,gdas.t06z.atms.tm00.bufr_d.20250219,202508-0303-08 03:43:59,gdas,06,atms,2025-02-19 06:00:00
1489880088,2025-03-08 08:35:53,+0000,gdas.t06z.crisf4.tm00.bufr_d.20250219,202508-0303-08 03:43:59,gdas,06,crisf4,2025-02-19 06:00:00
23723392,2025-03-08 08:35:16,+0000,gdas.t06z.eshrs3.tm00.bufr_d.20250219,202508-0303-08 03:43:59,gdas,06,eshrs3,2025-02-19 06:00:00
39049488,2025-03-08 08:35:14,+0000,gdas.t06z.esmhs.tm00.bufr_d.20250219,202508-0303-08 03:43:59,gdas,06,esmhs,2025-02-19 06:00:00
10558344,2025-03-08 08:35:19,+0000,gdas.t06z.gome.tm00.bufr_d.20250219,202508-0303-08 03:43:59,gdas,06,gome,2025-02-19 06:00:00
1912928,2025-03-08 08:35:18,+0000,gdas.t06z.gpsipw.tm00.bufr_d.nr.20250219,202508-0303-08 03:43:59,gdas,06,gpsipw,2025-02-19 06:00:00
45436552,2025-03-08 08:35:36,+0000,gdas.t06z.gpsro.tm00.bufr_d.20250219,202508-0303-08 03:43:59,gdas,06,gpsro,2025-02-19 06:00:00
819176008,2025-03-08 08:35:35,+0000,gdas.t06z.mtiasi.tm00.bufr_d.20250219,202508-0303-08 03:43:59,gdas,06,mtiasi,2025-02-19 06:00:00
