13630744,2025-03-07 15:53:13.000000000,+00,gdas.t00z.1bamua.tm00.bufr_d.20250218,2025-03-07 15:54:34
15140512,2025-03-07 15:53:14.000000000,+00,gdas.t00z.1bhrs4.tm00.bufr_d.20250218,2025-03-07 15:54:34
0,2025-03-07 15:52:46.000000000,+00,gdas.t00z.airsev.tm00.bufr_d.20250218,2025-03-07 15:54:34
217046128,2025-03-07 15:53:28.000000000,+00,gdas.t00z.atms.tm00.bufr_d.20250218,2025-03-07 15:54:34
1484522000,2025-03-07 15:54:10.000000000,+00,gdas.t00z.crisf4.tm00.bufr_d.20250218,2025-03-07 15:54:34
34307960,2025-03-07 15:53:18.000000000,+00,gdas.t00z.eshrs3.tm00.bufr_d.20250218,2025-03-07 15:54:34
71622640,2025-03-07 15:53:23.000000000,+00,gdas.t00z.esmhs.tm00.bufr_d.20250218,2025-03-07 15:54:34
10554936,2025-03-07 15:53:21.000000000,+00,gdas.t00z.gome.tm00.bufr_d.20250218,2025-03-07 15:54:34
1817296,2025-03-07 15:53:19.000000000,+00,gdas.t00z.gpsipw.tm00.bufr_d.nr.20250218,2025-03-07 15:54:34
50819744,2025-03-07 15:53:47.000000000,+00,gdas.t00z.gpsro.tm00.bufr_d.20250218,2025-03-07 15:54:34
820957912,2025-03-07 15:53:46.000000000,+00,gdas.t00z.mtiasi.tm00.bufr_d.20250218,2025-03-07 15:54:34
0,2025-03-07 15:53:24.000000000,+00,gdas.t00z.osbuv8.tm00.bufr_d.20250218,2025-03-07 15:54:34
59828568,2025-03-07 15:54:12.000000000,+00,gdas.t00z.prepbufr.nr.20250218,2025-03-07 15:54:34
145256872,2025-03-07 15:53:32.000000000,+00,gdas.t00z.satwnd.tm00.bufr_d.20250218,2025-03-07 15:54:34
13732584,2025-03-07 20:19:16.000000000,+00,gdas.t06z.1bamua.tm00.bufr_d.20250218,2025-03-07 20:20:19
15221720,2025-03-07 20:19:15.000000000,+00,gdas.t06z.1bhrs4.tm00.bufr_d.20250218,2025-03-07 20:20:19
0,2025-03-07 20:19:12.000000000,+00,gdas.t06z.airsev.tm00.bufr_d.20250218,2025-03-07 20:20:19
